date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:38:22	120/120	---M-Z	200	added ('OK')	text/plain	date:Sat,%2014%20Jan%202023%2010:38:20%20GMT	http://www.timoradventures.com.au/robots.txt		(from )
18:38:22	30626/30626	---M-Z	200	added ('OK')	text/html	date:Sat,%2014%20Jan%202023%2010:38:21%20GMT	http://www.timoradventures.com.au/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/index.html	(from )
18:38:22	751/-1	---M--	503	error ('Service%20Unavailable')	text/html		http://www.timoradventures.com.au/xmlrpc.php	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/xmlrpc.php	(from http://www.timoradventures.com.au/)
18:38:25	22768/22768	---M-Z	404	error ('Not%20Found')	text/html	date:Sat,%2014%20Jan%202023%2010:38:23%20GMT	http://www.timoradventures.com.au/wp-content/themes/timor/favicon.ico	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/themes/timor/favicon.1.delayed	(from http://www.timoradventures.com.au/)
18:38:25	23068/23068	---M-Z	200	added ('OK')	text/css	etag:%225a1c-4e3b3c12061e4%22	http://www.timoradventures.com.au/wp-content/themes/timor/style.css	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/themes/timor/style.css	(from http://www.timoradventures.com.au/)
18:38:26	19680/19680	---M-Z	200	added ('OK')	text/css	etag:%224ce0-4e3b3c9998518%22	http://www.timoradventures.com.au/wp-content/themes/timor/scripts/prettyPhoto.css	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/themes/timor/scripts/prettyPhoto.css	(from http://www.timoradventures.com.au/)
18:38:26	2833/2833	---M-Z	200	added ('OK')	text/css	etag:%22b11-4e3b3c9931094%22	http://www.timoradventures.com.au/wp-content/themes/timor/scripts/nivo-slider.css	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/themes/timor/scripts/nivo-slider.css	(from http://www.timoradventures.com.au/)
18:38:26	88932/88932	---M-Z	200	added ('OK')	text/css	etag:%2215b64-5ec5fec634b24%22	http://www.timoradventures.com.au/wp-includes/css/dist/block-library/style.min.css?ver=6.0.3	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-includes/css/dist/block-library/style.min1eb7.css	(from http://www.timoradventures.com.au/)
18:38:27	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5ec5ff5e1c471%22	http://www.timoradventures.com.au/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from http://www.timoradventures.com.au/)
18:38:27	34571/34571	---MC-	200	added ('OK')	application/rss+xml	etag:%2204b949b46f2bf17f133ba82e5ed713c9%22	http://www.timoradventures.com.au/feed/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/feed/index.html	(from http://www.timoradventures.com.au/)
18:38:27	211/211	---M-Z	200	added ('OK')	text/css	etag:%22d3-5e8fbaf555248%22	http://www.timoradventures.com.au/wp-content/plugins/youtube-embed/css/main.min.css?ver=5.2.3	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/youtube-embed/css/main.min2513.css	(from http://www.timoradventures.com.au/)
18:38:27	4148/4148	---M-Z	200	added ('OK')	text/css	etag:%221034-5de174f0c4e73%22	http://www.timoradventures.com.au/wp-content/plugins/slickr-flickr/styles/public.css?ver=2.8.1	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/slickr-flickr/styles/public1102.css	(from http://www.timoradventures.com.au/)
18:38:28	10631/10631	---M-Z	200	added ('OK')	text/css	etag:%222987-5de174f08eb59%22	http://www.timoradventures.com.au/wp-content/plugins/slickr-flickr/galleria/themes/classic/galleria.classic.css?ver=1.6.1	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/slickr-flickr/galleria/themes/classic/galleria.classic51a2.css	(from http://www.timoradventures.com.au/)
18:38:28	3122/3122	---M-Z	200	added ('OK')	text/css	etag:%22c32-57a82b1638347%22	http://www.timoradventures.com.au/wp-content/plugins/easy-table/themes/default/style.css?ver=1.8	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/easy-table/themes/default/style4b1d.css	(from http://www.timoradventures.com.au/)
18:38:30	11224/11224	---M-Z	200	added ('OK')	text/javascript	etag:%222bd8-5de1760fa5142%22	http://www.timoradventures.com.au/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://www.timoradventures.com.au/)
18:38:31	36582/36582	---MC-	200	added ('OK')	application/atom+xml	etag:%2204b949b46f2bf17f133ba82e5ed713c9%22	http://www.timoradventures.com.au/feed/atom/	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/feed/atom/index.html	(from http://www.timoradventures.com.au/)
18:38:32	89521/89521	---M-Z	200	added ('OK')	text/javascript	etag:%2215db1-5de1760fbc462%22	http://www.timoradventures.com.au/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-includes/js/jquery/jquery.minaf6c.js	(from http://www.timoradventures.com.au/)
18:38:32	73599/73599	---M-Z	200	added ('OK')	text/javascript	etag:%2211f7f-5de174f0b48be%22	http://www.timoradventures.com.au/wp-content/plugins/slickr-flickr/galleria/galleria-1.6.1.min.js?ver=1.6.1	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/slickr-flickr/galleria/galleria-1.6.1.min51a2.js	(from http://www.timoradventures.com.au/)
18:38:32	1911/1911	---M-Z	200	added ('OK')	text/javascript	etag:%22777-5de174f0902a2%22	http://www.timoradventures.com.au/wp-content/plugins/slickr-flickr/galleria/themes/classic/galleria.classic.min.js?ver=1.6.1	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/slickr-flickr/galleria/themes/classic/galleria.classic.min51a2.js	(from http://www.timoradventures.com.au/)
18:38:32	3397/3397	---M-Z	200	added ('OK')	text/javascript	etag:%22d45-5de174f0c1fa6%22	http://www.timoradventures.com.au/wp-content/plugins/slickr-flickr/scripts/responsiveslides.min.js?ver=1.54	E:/xampp-gui/htdocs/httrack/Timor%20Adventure/www.timoradventures.com.au/wp-content/plugins/slickr-flickr/scripts/responsiveslides.min2602.js	(from http://www.timoradventures.com.au/)
